"","BU207","BU208","BU211","BU301","BU304","CR108","CR109","CR125","CR132","EH152","EH153","ES171","ES174","ES189","ES246","ES355","ES409","ES440","ES618","ES828","GR135","GR141","IT113","IT148","IT151","IT152","IT164","IT165","IT167","IT168","IT317","IT321","PO145","PO241","PO254","SE127","SE129","SE130","SE134","SL143"
"OTU127",0,0,0,0,0,0,0,0,0,0,0,0.00334395133974257,0.000851136266916333,0,0,0,0,0,0.00155401512109095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310749635540551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153335037055967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1281",0,0,0,0,0,0,0,0,0,0,0,0.000201790167053431,0.00108823851270017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109065474849739,0,0,0,0,0,0,0
"OTU1292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550084287108509,0,0,0,0
"OTU13",0,0,0,0,0,0,0,0,0,0,0,0.290231914556278,0.626758508322897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580465425058978,0,0,0,0,0,0,0.000798806738252946
"OTU1300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268302031429667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848630755341559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088934321492461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1313",0,0,0,0,0,0,0,0,0,0,0,0.00150621946122025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1316",0,0,0,0,0,0.00102550769852962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473706712270201,0,0,0
"OTU1324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246582812703757,0,0,0,0,0,0,0
"OTU1328",0,0,0,0,0,0,0,0,0.000305231670838166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU133",0,0,0,0,0,0,0.00284053484389409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235722499041778,0,0,0,0,0.155598221171992,0.0155125002623901,0,0,0,0,0,0,0,0,0,0
"OTU1331",0,0,0,0,0,0,0,0,0,0,0,0.00258003142161173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018704859167429,0,0,0,0,0,0,0,0
"OTU1334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00618651438323569,0,0,0,0,0,0,0,0,0,0,0
"OTU134",0,0,0,0,0,0,0,0.265478209064662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220075408191336,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000820659670688481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250199627362257,0,0,0,0
"OTU1345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218457206660518,0,0,0,0,0,0,0,0,0,0,0,0
"OTU135",0,0,0,0.000216182221960183,0.000697812358256865,0,0,0,0,0,0,0.00898686922555817,0.00165971572048685,0,0,0,0,0,0,0,0,0,0,0.00346876197776926,0,0,0,0,0,0.0215999496211088,0,0,0,0,0,0,0,0,0,0
"OTU1359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319886696620434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU137",0,0,0,0,0,0,0,0,0,0.00890701739781903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466559687829154
"OTU1372",0,0,0,0.00251557494644577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1374",0,0,0,0,0,0,0,0,0,0,0,0,0.00101528397553591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000640166917596292,0,0,0,0,0,0,0
"OTU1377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509274470563637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1379",0,0,0,0,0,0.000794407372100413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196918229705115,0,0,0,0,0,0,0,0,0,0,0
"OTU138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715810655423534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1387",0,0,0,0,0,0,0.00177018838097747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148242151308069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1393",0,0,0,0,0,0.00103995146893145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000885728385064089,0,0,0,0,0.0011839481555334,0
"OTU14",0,0,0,0,0,0,0.000197602423923067,0.118234728014298,0,0,0,0,0,0,0,0,0,0,0.442178414904576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147280631709697,0,0,0,0
"OTU1403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210044159886627,0,0,0,0,0.00186939182452642,0
"OTU1407",0,0,0,0,0,0,0,0,0,0,0,0,0.000370852230584974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000841221255328324
"OTU1413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018887594284663,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526879237599446,0,0,0,0,0,0,0,0,0,0
"OTU1416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453410021201117,0,0,0,0,0,0,0,0,0,0
"OTU1422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218311154718832,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1428",0,0,0,0.00247626908790755,0.00327971808380726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU143",0,0,0,0.00792013049545035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000785741663472595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
